Rodada,GS1T,GF1T,GS2T,GF2T,Casa,PosseFla,FinaTotal,CAFla,CVFla,FinaAdvTotal,CAAdv,CVAdv
2022-R31,0,0,1,2,0,55,6,1,0,9,2,0
2022-R30,0,0,0,0,0,63,10,1,0,9,0,0
2022-R29,0,1,1,3,1,75,12,1,0,4,0,1
2022-R28,1,2,2,0,0,77,4,0,0,6,2,0
2022-R27,1,0,1,1,1,46,7,0,0,6,1,0
2022-R26,0,0,1,1,0,73,6,0,0,3,1,0
2022-R25,0,1,1,0,1,57,5,1,0,4,1,0
2022-R24,0,0,0,1,0,56,1,0,0,9,1,0
2022-R23,0,1,1,0,0,33,5,0,0,8,0,0
2022-R22,0,0,0,5,1,67,9,2,0,0,0,0
2022-R21,0,1,0,1,0,43,7,1,0,5,1,0
2022-R20,0,4,1,0,1,49,10,0,0,1,5,0
2022-R19,0,0,1,2,0,59,6,0,0,6,1,0
2022-R18,0,3,0,3,1,60,7,1,0,2,1,1
2022-R17,0,2,0,0,1,57,6,0,0,8,0,0
2022-R16,0,0,1,0,0,41,7,1,0,2,1,0
2022-R15,0,1,1,1,0,66,5,0,0,6,2,0
2022-R14,0,1,0,2,1,53,0,1,0,5,1,0
2022-R13,1,0,1,0,0,48,4,0,0,11,0,0
2022-R12,0,1,0,1,1,64,6,1,0,6,1,0
2022-R11,2,0,1,1,0,69,8,1,0,5,1,0
2022-R10,1,0,0,0,0,59,7,1,0,5,1,0
2022-R09,1,1,1,0,1,63,5,1,0,7,1,0
2022-R08,1,1,0,1,0,53,5,2,0,5,1,0
2022-R07,0,1,0,0,1,69,7,1,0,1,3,0
2022-R06,1,2,1,0,0,66,8,3,0,7,3,0
2022-R05,0,0,1,0,1,46,6,1,0,6,2,0
2022-R04,0,0,0,0,1,52,9,2,0,7,2,0
2022-R03,1,0,0,0,0,56,5,0,0,5,1,0
2022-R02,1,1,0,2,1,58,1,2,0,3,3,0
2022-R01,0,0,1,1,0,57,4,0,0,4,1,0
2021-R38,0,0,2,0,0,47,2,2,0,6,1,0
2021-R37,0,0,1,0,1,60,3,2,0,7,0,0
2021-R36,0,1,1,1,1,52,7,1,0,6,1,0
2021-R35,0,1,1,0,0,53,12,1,0,8,0,0
2021-R34,1,2,0,0,0,48,10,1,0,14,2,0
2021-R33,0,0,0,1,1,56,10,1,2,4,2,0
2021-R32,0,3,0,1,0,60,7,1,0,3,0,1
2021-R31,0,1,0,2,1,63,6,0,0,6,3,1
2021-R30,2,2,0,0,0,59,9,2,0,7,0,0
2021-R29,0,1,0,0,1,40,2,2,0,9,2,0
2021-R28,1,0,2,1,0,73,6,2,0,5,1,0
2021-R27,0,0,0,0,1,73,5,0,0,2,0,0
2021-R26,0,3,1,0,1,62,8,0,0,5,1,0
2021-R25,0,0,0,3,0,56,6,2,0,2,0,0
2021-R24,0,1,1,0,0,60,5,2,0,7,1,0
2021-R23,0,3,0,0,1,73,6,0,0,5,0,0
2021-R22,0,0,1,1,0,61,3,0,0,6,1,0
2021-R21,1,0,0,0,1,57,7,1,0,8,1,0
2021-R20,1,1,0,2,0,48,7,1,0,5,0,0
2021-R19,0,1,0,1,1,50,8,2,0,3,1,0
2021-R18,0,0,0,4,0,52,10,3,0,4,2,0
2021-R17,1,0,0,1,0,67,10,0,0,4,0,0
2021-R16,0,1,0,1,1,65,8,0,0,2,1,0
2021-R15,2,0,2,0,1,68,6,1,0,4,0,0
2021-R14,0,3,1,0,0,65,12,0,0,3,1,0
2021-R13,0,0,1,5,1,55,6,0,0,11,2,0
2021-R12,0,2,0,3,0,63,10,0,0,5,1,0
2021-R11,0,0,1,2,1,72,10,1,0,4,3,0
2021-R10,0,0,2,1,0,45,8,0,0,6,0,0
2021-R09,0,0,1,0,1,68,14,2,0,4,1,0
2021-R08,0,1,0,1,0,69,6,3,0,2,1,0
2021-R07,1,0,0,0,0,62,4,0,0,3,1,0
2021-R06,0,2,1,0,1,69,14,0,0,5,0,0
2021-R05,1,1,2,1,1,62,13,1,0,5,2,0
2021-R04,0,2,2,0,0,46,7,1,0,4,3,0
2021-R03,0,1,0,1,1,61,7,0,0,3,0,0
2021-R02,0,0,2,2,0,47,4,0,0,9,0,0
2021-R01,0,0,0,1,1,64,3,0,0,6,0,0
2020-R38,1,0,1,1,0,67,9,1,0,1,4,0
2020-R37,1,1,0,1,1,65,5,0,0,7,0,0
2020-R36,1,1,0,1,1,70,6,0,0,2,3,0
2020-R35,0,1,1,0,0,52,10,1,0,6,1,0
2020-R34,0,1,0,1,1,72,10,1,0,0,2,0
2020-R33,0,2,0,1,0,60,13,0,0,2,1,0
2020-R32,1,1,1,0,0,57,4,0,0,7,1,0
2020-R31,0,1,0,1,1,62,8,0,0,3,1,0
2020-R30,0,1,0,2,0,59,5,1,0,5,3,0
2020-R29,1,0,1,0,1,70,9,2,0,5,0,0
